text,label
halo apa kabar ya,umum
jelaskan siklus hidup kupu-kupu ya,umum
berita terbaru tentang virus baru ya,pencarian_web
kapan jadwal rilis iphone terbaru sekarang,pencarian_web
tolong hitungkan 50 dikali 9,matematika
berita terbaru tentang gempa di jepang ya,pencarian_web
24 / 12 berapa,matematika
apa saja regulasi pajak terbaru di indonesia sekarang,pencarian_web
hitung rasio gigi pinion 75t dan spur 5t,matematika
convert 60 fahrenheit ke celsius,matematika
siapa ceo terbaru perusahaan tesla ya,pencarian_web
berapa BMI kalau berat 90 kg dan tinggi 45 cm,matematika
berapa hasil 80 faktorial,matematika
cuaca di jakarta hari ini bagaimana ya,pencarian_web
ceritakan tentang keindahan alam gunung ya,umum
apa perkembangan terbaru perang di ukraina sekarang,pencarian_web
kapan jadwal rilis iphone terbaru ya,pencarian_web
hitung selisih 32 dan 45 lalu kalikan 8,matematika
konversi 5 km ke meter,matematika
"hitung skor rata-rata dari nilai 36, 10, dan 2",matematika
hitung diskon 48 persen untuk barang seharga 2,matematika
hitung rasio gigi pinion 100t dan spur 60t,matematika
bagaimana sejarah bahasa indonesia terbentuk dong,umum
hitung rasio gigi pinion 45t dan spur 12t,matematika
siapa juara liga champions musim ini ya,pencarian_web
apa saja regulasi pajak terbaru di indonesia,pencarian_web
hitung akar kuadrat dari 48,matematika
berapa jumlah penduduk indonesia saat ini,pencarian_web
hitung selisih 12 dan 15 lalu kalikan 4,matematika
siapa presiden indonesia saat ini sekarang,pencarian_web
berapa hasil sqrt(72) + ln(45),matematika
berapa kurs dollar ke rupiah hari ini sekarang,pencarian_web
apa saja jenis-jenis awan ya,umum
bagaimana cara mengatasi stres ya,umum
berapa jumlah penduduk indonesia saat ini ya,pencarian_web
siapa juara piala dunia terbaru ya,pencarian_web
apa arti mimpi bertemu ular dong,umum
bagaimana cara mengatasi stres,umum
halo apa kabar,umum
siapa pemenang pilpres amerika terbaru ya,pencarian_web
siapa gubernur jawa barat sekarang ya,pencarian_web
tolong hitungkan 75 dikali 10,matematika
apa kebijakan terbaru bank indonesia soal suku bunga,pencarian_web
apa manfaat olahraga pagi ya,umum
apa itu blockchain dong,umum
30 dibagi 18 sama dengan berapa,matematika
buatkan puisi tentang senja dong,umum
apa itu machine learning ya,umum
hitung akar kuadrat dari 75,matematika
konversi 90 km ke meter,matematika
kapan konser coldplay di jakarta,pencarian_web
siapa presiden indonesia saat ini,pencarian_web
tolong hitungkan 48 dikali 15,matematika
berikan resep nasi goreng sederhana,umum
berapa hasil 150 faktorial,matematika
siapa menteri keuangan indonesia saat ini sekarang,pencarian_web
bagaimana cara membuat kopi enak ya,umum
kapan rilis film terbaru marvel,pencarian_web
berapa 25 persen dari 20,matematika
apa saja regulasi pajak terbaru di indonesia ya,pencarian_web
apa saja jenis-jenis awan dong,umum
jelaskan perbedaan introvert dan ekstrovert dong,umum
apa kebijakan terbaru bank indonesia soal suku bunga ya,pencarian_web
bagaimana sejarah bahasa indonesia terbentuk,umum
hitung diskon 150 persen untuk barang seharga 12,matematika
berapa 18 pangkat 4,matematika
bagaimana cara membuat kopi enak dong,umum
berikan resep nasi goreng sederhana dong,umum
apa isu terkini soal perubahan iklim ya,pencarian_web
harga emas hari ini berapa per gram sekarang,pencarian_web
bagaimana cara kerja mesin mobil,umum
apa arti mimpi bertemu ular,umum
ceritakan sejarah kerajaan majapahit dong,umum
berita terbaru tentang gempa di jepang,pencarian_web
jelaskan siklus hidup kupu-kupu,umum
berita terkini soal harga bbm sekarang,pencarian_web
berapa jumlah penduduk indonesia saat ini sekarang,pencarian_web
berapa hasil 48 dikurangi 9,matematika
hitung 3 / 2,matematika
berapa rasio final drive kalau pinion 2 diferensial 12,matematika
terima kasih banyak ya,umum
apa fungsi hati dalam tubuh manusia dong,umum
bagaimana cara kerja mesin mobil ya,umum
"hitung skor rata-rata dari nilai 12, 9, dan 9",matematika
hitung akar kuadrat dari 150,matematika
"selamat pagi, semangat kerja ya dong",umum
kapan pemilu berikutnya di indonesia sekarang,pencarian_web
convert 3 fahrenheit ke celsius,matematika
hitung akar kuadrat dari 30,matematika
hitung kecepatan maksimal RC dengan rasio 5 dan RPM motor 36,matematika
apa itu meditasi dan manfaatnya,umum
apa perbedaan python dan javascript,umum
berapa keliling persegi panjang panjang 12 lebar 45,matematika
apa perkembangan terbaru perang di ukraina ya,pencarian_web
siapa juara piala dunia terbaru sekarang,pencarian_web
siapa gubernur jawa barat sekarang sekarang,pencarian_web
berapa gaji setelah dipotong pajak 8 persen dari 20,matematika
jelaskan perbedaan introvert dan ekstrovert ya,umum
berapa keliling persegi panjang panjang 45 lebar 10,matematika
convert 45 fahrenheit ke celsius,matematika
beri saya tips belajar efektif dong,umum
apa itu machine learning,umum
jadwal pertandingan timnas indonesia minggu ini sekarang,pencarian_web
siapa juara liga champions musim ini sekarang,pencarian_web
hitung berapa persen kenaikan dari 18 ke 9,matematika
harga emas hari ini berapa per gram ya,pencarian_web
berapa torsi motor kalau arus 8 ampere dan tegangan 36 volt,matematika
apa itu filosofi stoikisme dong,umum
cuaca di jakarta hari ini bagaimana sekarang,pencarian_web
ceritakan dongeng sebelum tidur ya,umum
hitung rasio gigi pinion 30t dan spur 24t,matematika
apa perkembangan terbaru perang di ukraina,pencarian_web
hitung berapa persen kenaikan dari 7 ke 48,matematika
berapa harga bitcoin hari ini ya,pencarian_web
bagaimana sejarah bahasa indonesia terbentuk ya,umum
berapa harga bitcoin hari ini sekarang,pencarian_web
apa itu meditasi dan manfaatnya dong,umum
kapan pemilu berikutnya di indonesia,pencarian_web
hitung berapa persen kenaikan dari 60 ke 4,matematika
konversi 72 km ke meter,matematika
bagaimana cara membuat kopi enak,umum
siapa juara liga champions musim ini,pencarian_web
ceritakan tentang keindahan alam gunung,umum
apa isu terkini soal perubahan iklim sekarang,pencarian_web
bagaimana cara merawat tanaman hias dong,umum
berita terbaru tentang gempa di jepang sekarang,pencarian_web
hitung diskon 90 persen untuk barang seharga 30,matematika
hitung luas lingkaran dengan jari-jari 50 cm,matematika
apa fungsi hati dalam tubuh manusia ya,umum
halo apa kabar dong,umum
apa itu lubang hitam ya,umum
berita terkini soal harga bbm ya,pencarian_web
hitung 72 dikali 5,matematika
apa perbedaan python dan javascript ya,umum
jelaskan cara kerja internet secara umum,umum
60 dibagi 12 berapa,matematika
berapa hasil sqrt(100) + ln(10),matematika
hitung luas lingkaran dengan jari-jari 45 cm,matematika
siapa menteri keuangan indonesia saat ini,pencarian_web
berapa hasil 25 faktorial,matematika
apa itu filosofi stoikisme,umum
apa saja jenis-jenis awan,umum
berita terbaru tentang virus baru sekarang,pencarian_web
beri saya tips belajar efektif,umum
berapa gaji setelah dipotong pajak 36 persen dari 50,matematika
ceritakan sejarah kerajaan majapahit,umum
berapa BMI kalau berat 20 kg dan tinggi 50 cm,matematika
siapa juara piala dunia terbaru,pencarian_web
kapan konser coldplay di jakarta sekarang,pencarian_web
"selamat pagi, semangat kerja ya ya",umum
berikan resep nasi goreng sederhana ya,umum
berapa hasil sqrt(3) + ln(8),matematika
siapa menteri keuangan indonesia saat ini ya,pencarian_web
apa hobi yang cocok untuk pemula dong,umum
berapa hasil sqrt(40) + ln(36),matematika
konversi 25 km ke meter,matematika
berapa hasil 120 dikurangi 2,matematika
ceritakan dongeng sebelum tidur,umum
siapa ceo terbaru perusahaan tesla sekarang,pencarian_web
siapa pemenang pilpres amerika terbaru sekarang,pencarian_web
ceritakan dongeng sebelum tidur dong,umum
kapan pemilu berikutnya di indonesia ya,pencarian_web
kapan rilis film terbaru marvel sekarang,pencarian_web
jelaskan siklus hidup kupu-kupu dong,umum
bagaimana cara merawat tanaman hias ya,umum
beri saya tips belajar efektif ya,umum
berapa 18 persen dari 30,matematika
hitung selisih 50 dan 45 lalu kalikan 1,matematika
hitung total biaya 150 barang seharga 45 masing-masing,matematika
berapa harga bitcoin hari ini,pencarian_web
hitung luas lingkaran dengan jari-jari 15 cm,matematika
apa isu terkini soal perubahan iklim,pencarian_web
apa hobi yang cocok untuk pemula ya,umum
32 dibagi 25 sama dengan berapa,matematika
75 dibagi 60 sama dengan berapa,matematika
buatkan puisi tentang senja ya,umum
apa manfaat olahraga pagi,umum
hitung berapa persen kenaikan dari 18 ke 24,matematika
berapa BMI kalau berat 12 kg dan tinggi 60 cm,matematika
siapa gubernur jawa barat sekarang,pencarian_web
jelaskan teori relativitas einstein secara sederhana ya,umum
hitung luas lingkaran dengan jari-jari 2 cm,matematika
7 dibagi 5 sama dengan berapa,matematika
berapa kurs dollar ke rupiah hari ini,pencarian_web
apa itu blockchain,umum
100 - 18 berapa,matematika
bagaimana cara kerja mesin mobil dong,umum
berapa hasil 32 faktorial,matematika
berapa 8 pangkat 10,matematika
terima kasih banyak ya ya,umum
buatkan puisi tentang senja,umum
hitung kecepatan maksimal RC dengan rasio 60 dan RPM motor 18,matematika
hitung selisih 30 dan 12 lalu kalikan 8,matematika
"hitung skor rata-rata dari nilai 120, 45, dan 2",matematika
jelaskan teori relativitas einstein secara sederhana,umum
apa hobi yang cocok untuk pemula,umum
apa itu blockchain ya,umum
siapa pemenang pilpres amerika terbaru,pencarian_web
apa itu lubang hitam dong,umum
cuaca di jakarta hari ini bagaimana,pencarian_web
bagaimana cara mengatasi stres dong,umum
apa arti mimpi bertemu ular ya,umum
hitung total biaya 75 barang seharga 45 masing-masing,matematika
apa itu filosofi stoikisme ya,umum
ceritakan sejarah kerajaan majapahit ya,umum
berapa torsi motor kalau arus 18 ampere dan tegangan 40 volt,matematika
berapa hasil 15 dikali 30,matematika
apa manfaat olahraga pagi dong,umum
berapa BMI kalau berat 18 kg dan tinggi 3 cm,matematika
hitung total biaya 25 barang seharga 15 masing-masing,matematika
berapa kurs dollar ke rupiah hari ini ya,pencarian_web
berapa gaji setelah dipotong pajak 36 persen dari 18,matematika
jelaskan teori relativitas einstein secara sederhana dong,umum
apa itu machine learning dong,umum
berapa keliling persegi panjang panjang 5 lebar 3,matematika
siapa pemenang oscar tahun ini ya,pencarian_web
saya punya 3 kucing dan 2 anjing di rumah,umum
ceritakan tentang perang dunia 2,umum
apa yang terjadi di tahun 1998 di indonesia,umum
jelaskan tentang planet ke-3 dari matahari,umum
bagaimana rasanya jadi anak ke-2 dari 5 bersaudara,umum
berikan 5 tips agar tidur nyenyak,umum
sebutkan 3 manfaat membaca buku,umum
apa itu revolusi industri 4.0,umum
jelaskan konsep 5w1h dalam menulis berita,umum
apa maksud pepatah sedia payung sebelum hujan,umum
"kalau saya punya 240 ribu dibagi ke 8 orang, masing-masing dapat berapa",matematika
berapa lama waktu tersisa kalau sekarang jam 10 dan acara jam 15,matematika
"kalau umur saya 25 tahun dan adik saya setengahnya, adik saya umur berapa",matematika
"saya beli 4 barang harga 25000 tiap barang, totalnya berapa",matematika
kalau kecepatan 80 km per jam menempuh 240 km butuh berapa jam,matematika
apakah ronaldo masih bermain sepak bola,pencarian_web
apakah twitter sudah berganti nama,pencarian_web
apakah masih ada pembatasan covid di indonesia,pencarian_web
apa status terbaru kasus korupsi itu,pencarian_web
bagaimana kondisi ekonomi indonesia belakangan ini,pencarian_web
apakah harga rumah di jakarta naik tahun ini,pencarian_web
siapa saja pemain baru di timnas,pencarian_web
siapa penemu bola lampu,umum
siapa proklamator kemerdekaan indonesia,umum
apa ibu kota perancis,umum
siapa penulis novel laskar pelangi,umum
apa itu hukum newton pertama,umum
